Cover ID,Version Covered Name
278,Lady Gaga / Jennifer Lopez feat. Pitbull
279,The Fray
280,Franz Schubert
281,Imagine Dragons
282,Britney Spears feat. Pharrell Williams / Justin Bieber
283,Aerosmith / Britney Spears
284,Tears for Fears
285,Hole
286,Fred Astaire / Annie
287,Sheryl Crow
288,Duncan Sheik
289,Demi Lovato
290,No Doubt
291,David Bowie
292,fun.
293,Simon & Garfunkel / Phillip Phillips
294,Flo Rida
295,"Scissor Sisters / Promises, Promises"
296,Lydia Maria Child / Traditional
297,PSY
298,Frank Sinatra and Nancy Sinatra
299,Company
300,Crowded House
301,José Feliciano
302,Bing Crosby with Ken Darby and John Scott Trotter
303,Barenaked Ladies
304,Bobby Helms
305,Judy Garland
306,Jesus Christ Superstar
307,Jonathan Coulton
308,The Exciters
309,TLC
310,The Flamingos
311,Natalie Imbruglia
312,The J. Geils Band / Nelly
313,Ne-Yo
314,Sara Bareilles
315,A Great Big World
316,Kenny Rogers and Ronnie Milsap
317,Alicia Keys
318,Marvin Gaye and Tammi Terrell
319,Depeche Mode
320,Kenny Rogers and Sheena Easton
321,Ellie Goulding
322,Royal Wedding
323,The Isley Brothers
324,Nicole Kidman and Ewan McGregor
325,Bob Seger / Kenny Loggins
326,Marilyn Monroe / Madonna
327,Peter Gabriel
328,The Righteous Brothers
329,Kenny Loggins
330,Marina and the Diamonds
331,Elton John / Madonna
332,Paula Abdul
333,'N Sync / Backstreet Boys
334,Mariah Carey / Nicki Minaj
335,Tegan and Sara
336,Barry Manilow
337,Phil Collins
338,Spice Girls
339,Bobby Brown
340,Radiohead
341,Extreme
342,John Mayer
343,Emeli Sandé
344,Beastie Boys
345,Jeff Marx
346,Annie
347,Kermit the Frog
348,Zedd feat. Foxes
349,Little Mix
350,The Script feat. will.i.am
351,Icona Pop feat. Charli XCX
352,James Taylor
353,The Band Perry
354,Robin Thicke feat. T.I. and Pharrell
355,The Royal Concept
356,Fred Astaire
357,Ylvis
358,Bing Crosby and The Andrews Sisters
359,Brenda Lee
360,Boney M.
361,Alvin and the Chipmunks
362,Diana Ross & the Supremes
363,Kenny Loggins and Stevie Nicks
364,En Vogue
365,Stephen Foster
366,The Darkness
367,The Police
368,Simple Minds
369,Loggins and Messina
370,Laura Branigan
371,Wilson Phillips
372,Randy Newman
373,The Go-Go's
374,Styx / OneRepublic
375,Boston
376,Pharrell Williams
377,Eddie Murphy
378,Oh Honey
379,Pink feat. Nate Ruess
380,Petula Clark
381,Frank Sinatra
382,American Authors
383,Into the Woods
384,Follies
385,Sweeney Todd: The Demon Barber of Fleet Street
386,Amber Riley
387,Robert Palmer
388,Pat Benatar
389,The Cardigans
390,NONONO
391,Avicii feat. Aloe Blacc
392,Lauryn Hill
393,Big Brother and the Holding Company
394,Bette Midler
395,Modern English
396,Cats
397,Warren Zevon
398,Eddie Money
399,John Legend
400,Pippin
401,Estelle feat. Kanye West
402,Bastille
403,Alanis Morissette
404,Little Shop of Horrors
405,Ed Sheeran
406,Idina Menzel
407,The Rocketboys
408,A-ha
409,Janelle Monáe feat. Big Boi
410,Ariana Grande feat. Iggy Azalea
411,Wilson Pickett
412,Edward Sharpe and the Magnetic Zeros
413,Carole King
414,Alanis Morissette / Carole King
415,Carole King / Alanis Morissette
416,Meredith Brooks
417,Vanessa Carlton
418,Devo
419,The Knack
420,Dead or Alive
421,Roxette
422,George Michael
423,Air Supply
424,The Shirelles
425,Dusty Springfield
426,"Promises, Promises"
427,Cilla Black
428,Jackie DeShannon
429,Bon Jovi
430,Macklemore & Ryan Lewis feat. Mary Lambert
431,Meghan Trainor
432,Betty Who
433,Etta James
434,OutKast
435,The Pointer Sisters
436,Ruby & the Romantics
437,The Cure
438,Mark Ronson feat. Bruno Mars
439,Ariana Grande feat. Zedd
440,Echosmith
441,Clean Bandit feat. Jess Glynne
442,Frank Stallone
443,Europe
444,Original composition by Darren Criss
445,Mr. Mister
446,Starship
447,Toni Basil
448,Hozier
449,Sia
450,Styx
451,Zella Jackson Price
452,Ginuwine
453,"Crosby, Stills, Nash & Young"
454,Darren Criss
455,OneRepublic
